"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"33",44,"services","married","professional.course","no","no","no","cellular","aug","mon",341,2,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no"
"34",32,"services","married","high.school","no","no","yes","cellular","jul","fri",157,3,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
"35",56,"unemployed","married","university.degree","no","yes","no","cellular","jun","wed",252,1,2,"failure",-2.9,92.963,-40.8,1.26,5076.2,"no"
"36",33,"blue-collar","married","basic","no","yes","no","cellular","may","thu",263,1,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
"37",39,"management","married","high.school","no","no","no","cellular","aug","fri",215,3,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
"38",24,"technician","married","university.degree","no","yes","yes","cellular","sep","tue",89,2,1,"success",-3.4,92.379,-29.8,0.77,5017.5,"yes"
"39",33,"admin.","single","university.degree","no","yes","no","cellular","may","thu",143,1,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
"40",58,"businessman","divorced","university.degree","no","no","no","telephone","jun","thu",40,2,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
"41",29,"admin.","single","university.degree","no","yes","no","telephone","jun","fri",10,27,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
"42",31,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",113,1,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"43",27,"admin.","married","university.degree","no","no","no","telephone","may","wed",191,5,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"44",60,"admin.","divorced","professional.course","no","yes","no","cellular","sep","wed",481,1,1,"failure",-1.1,94.199,-37.5,0.886,4963.6,"yes"
"45",55,"businessman","married","professional.course","no","yes","yes","cellular","oct","mon",233,1,2,"failure",-3.4,92.431,-26.9,0.739,5017.5,"no"
"46",37,"blue-collar","married","basic","no","yes","no","cellular","may","wed",204,2,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
"47",46,"services","married","high.school","no","yes","no","cellular","apr","mon",180,1,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
"48",42,"blue-collar","divorced","basic","no","yes","no","cellular","may","wed",16,2,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
"49",35,"admin.","single","university.degree","no","yes","no","cellular","jul","mon",447,3,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"50",29,"services","divorced","high.school","no","no","yes","telephone","jun","mon",361,3,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
"51",32,"blue-collar","married","basic","no","no","no","cellular","nov","mon",1091,2,1,"success",-0.1,93.2,-42,4.191,5195.8,"yes"
"52",37,"businessman","married","university.degree","no","no","no","cellular","may","fri",395,1,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,"no"
"53",28,"admin.","single","high.school","no","yes","no","cellular","may","tue",59,3,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"no"
"54",34,"management","married","university.degree","no","yes","no","cellular","may","wed",77,4,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
"55",31,"technician","single","high.school","no","yes","yes","cellular","aug","tue",768,1,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes"
"56",31,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",96,5,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
"57",31,"admin.","single","university.degree","no","yes","no","telephone","jun","wed",357,2,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
"58",38,"businessman","single","university.degree","no","no","no","telephone","may","thu",459,2,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
"59",33,"unemployed","married","basic","no","no","no","telephone","jun","fri",11,6,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
"60",32,"technician","single","university.degree","no","no","no","cellular","aug","tue",264,12,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
"61",41,"admin.","divorced","high.school","no","yes","no","telephone","jun","tue",204,2,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"62",57,"unemployed","married","university.degree","no","yes","no","cellular","apr","thu",374,1,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"yes"
"63",38,"businessman","divorced","university.degree","no","yes","no","cellular","nov","thu",252,1,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"64",46,"admin.","married","university.degree","no","yes","no","telephone","may","tue",158,1,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"65",37,"unemployed","single","university.degree","no","yes","yes","cellular","nov","tue",95,1,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
"66",45,"admin.","single","university.degree","no","no","no","cellular","aug","thu",505,1,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"yes"
"67",36,"blue-collar","married","basic","no","yes","no","telephone","jul","wed",16,1,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"68",40,"unemployed","single","high.school","no","yes","no","cellular","jul","mon",300,5,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"69",38,"blue-collar","married","basic","no","no","no","cellular","nov","tue",180,2,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no"
"70",25,"businessman","married","university.degree","no","yes","no","telephone","may","fri",274,2,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"71",30,"blue-collar","single","basic","no","yes","no","telephone","jul","tue",135,5,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"72",43,"management","married","professional.course","no","no","no","cellular","nov","tue",257,2,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
"73",31,"technician","married","professional.course","no","yes","no","telephone","may","wed",157,6,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"74",53,"management","married","university.degree","no","no","no","cellular","jul","tue",477,2,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"75",37,"services","married","high.school","no","yes","yes","cellular","may","thu",436,3,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
"76",33,"services","single","basic","no","yes","no","cellular","apr","thu",483,2,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"no"
"77",44,"businessman","married","professional.course","no","no","no","telephone","may","mon",259,1,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
"78",38,"blue-collar","married","basic","no","yes","no","telephone","jul","thu",389,2,0,"nonexistent",1.4,93.918,-42.7,4.966,5228.1,"no"
"79",34,"blue-collar","married","basic","no","no","no","telephone","jun","tue",7,1,0,"nonexistent",-1.7,94.055,-39.8,0.702,4991.6,"no"
"80",47,"management","married","university.degree","no","yes","no","cellular","jul","wed",123,1,0,"nonexistent",-2.9,92.469,-33.6,1.029,5076.2,"no"
"81",59,"admin.","married","university.degree","no","yes","yes","cellular","jul","wed",92,1,0,"nonexistent",-2.9,92.469,-33.6,1.085,5076.2,"no"
"82",31,"blue-collar","married","basic","no","yes","no","telephone","jun","wed",406,2,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
"83",56,"management","married","university.degree","no","yes","yes","cellular","nov","wed",104,1,1,"failure",-0.1,93.2,-42,4.12,5195.8,"no"
"84",39,"admin.","married","university.degree","no","no","no","telephone","jun","mon",135,2,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"85",41,"businessman","married","university.degree","no","yes","no","cellular","nov","tue",854,1,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"yes"
"86",41,"management","divorced","basic","no","yes","no","cellular","nov","thu",147,1,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"87",35,"blue-collar","married","high.school","no","no","yes","cellular","jul","mon",149,4,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"88",58,"unemployed","married","basic","no","no","yes","cellular","may","wed",144,1,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
"89",25,"businessman","married","professional.course","no","yes","no","telephone","jun","wed",394,2,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
"90",35,"blue-collar","divorced","basic","no","yes","no","cellular","may","tue",523,1,1,"failure",-1.8,92.893,-46.2,1.344,5099.1,"no"
"91",28,"services","single","high.school","no","no","no","cellular","jul","wed",73,1,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"92",55,"blue-collar","married","professional.course","no","yes","yes","cellular","may","fri",197,3,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no"
"93",32,"blue-collar","married","basic","no","yes","no","cellular","apr","thu",114,1,1,"failure",-1.8,93.075,-47.1,1.41,5099.1,"no"
"94",75,"unemployed","married","basic","no","no","no","cellular","apr","tue",109,1,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"yes"
"95",29,"management","married","university.degree","no","no","yes","cellular","aug","wed",181,2,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no"
"96",45,"management","married","university.degree","no","yes","no","cellular","may","thu",239,1,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
"97",38,"admin.","divorced","university.degree","no","no","no","cellular","apr","mon",360,1,0,"nonexistent",-1.8,93.075,-47.1,1.392,5099.1,"no"
"98",24,"services","single","professional.course","no","yes","no","telephone","may","mon",314,1,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
"99",41,"technician","married","professional.course","no","yes","no","cellular","aug","mon",984,1,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"100",58,"unemployed","divorced","high.school","no","yes","no","cellular","jun","tue",663,1,0,"nonexistent",-2.9,92.963,-40.8,1.262,5076.2,"yes"
"101",34,"admin.","married","university.degree","no","no","yes","telephone","may","wed",157,2,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"102",34,"admin.","married","university.degree","no","no","no","cellular","nov","mon",141,2,0,"nonexistent",-1.1,94.767,-50.8,1.05,4963.6,"no"
"103",37,"technician","divorced","professional.course","no","no","no","telephone","may","wed",374,1,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"104",53,"blue-collar","divorced","basic","no","no","no","telephone","jun","wed",706,1,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"yes"
"105",54,"technician","divorced","professional.course","no","yes","yes","cellular","jul","tue",797,14,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"106",32,"technician","divorced","professional.course","no","yes","no","cellular","nov","tue",250,1,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
"107",42,"admin.","married","high.school","no","yes","no","cellular","jul","fri",311,6,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"108",28,"technician","single","professional.course","no","yes","no","cellular","aug","thu",63,2,1,"success",-2.9,92.201,-31.4,0.851,5076.2,"yes"
"109",33,"services","single","high.school","no","yes","no","telephone","may","fri",111,1,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
"110",41,"blue-collar","married","basic","no","yes","no","cellular","apr","mon",148,2,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
"111",31,"services","married","high.school","no","no","yes","cellular","nov","thu",49,1,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"112",40,"admin.","divorced","university.degree","no","yes","no","cellular","aug","mon",257,1,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"113",82,"housemaid","married","basic","no","no","no","telephone","sep","tue",279,3,2,"success",-1.1,94.199,-37.5,0.877,4963.6,"yes"
"114",28,"blue-collar","married","basic","no","yes","no","cellular","jul","mon",113,1,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"115",31,"unemployed","single","university.degree","no","yes","no","cellular","jul","tue",309,1,3,"success",-1.7,94.215,-40.3,0.835,4991.6,"yes"
"116",32,"technician","single","university.degree","no","yes","no","cellular","aug","wed",168,1,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"117",54,"blue-collar","married","basic","no","yes","no","cellular","aug","tue",153,1,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"118",31,"blue-collar","married","basic","no","no","no","cellular","jul","wed",152,1,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"119",31,"admin.","single","high.school","no","yes","yes","cellular","may","wed",149,1,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
"120",32,"unemployed","married","high.school","no","yes","no","cellular","nov","thu",640,1,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"yes"
"121",46,"admin.","single","high.school","no","yes","no","cellular","nov","mon",199,2,2,"failure",-1.1,94.767,-50.8,1.048,4963.6,"no"
"122",47,"admin.","single","high.school","no","no","no","cellular","may","mon",1114,2,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
"123",32,"admin.","single","high.school","no","no","no","cellular","nov","mon",74,2,2,"failure",-1.1,94.767,-50.8,1.048,4963.6,"no"
"124",45,"admin.","married","high.school","no","yes","no","cellular","oct","fri",738,3,1,"success",-1.1,94.601,-49.5,1.029,4963.6,"yes"
"125",32,"admin.","married","university.degree","no","yes","no","cellular","may","fri",374,2,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
"126",49,"services","married","high.school","no","yes","no","telephone","may","fri",344,2,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
"127",46,"admin.","married","high.school","no","yes","yes","telephone","jun","wed",148,10,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
"128",46,"blue-collar","married","professional.course","no","no","no","cellular","nov","fri",383,1,0,"nonexistent",-1.1,94.767,-50.8,1.028,4963.6,"no"
"129",38,"admin.","married","university.degree","no","yes","no","cellular","aug","tue",35,6,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"130",44,"technician","married","professional.course","no","no","no","telephone","may","fri",124,3,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
"131",47,"technician","married","university.degree","no","yes","no","cellular","aug","wed",345,7,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"132",40,"blue-collar","married","basic","no","yes","yes","telephone","may","wed",951,2,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"yes"
"133",57,"unemployed","single","professional.course","no","yes","no","telephone","may","mon",188,1,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"134",52,"blue-collar","married","basic","no","no","no","cellular","aug","fri",809,1,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes"
"135",34,"management","married","university.degree","no","yes","yes","telephone","jun","wed",192,1,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"yes"
"136",42,"businessman","married","university.degree","no","yes","no","telephone","may","tue",154,1,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"137",56,"unemployed","married","high.school","no","no","no","cellular","may","mon",317,1,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
"138",41,"management","married","university.degree","no","yes","no","cellular","may","thu",93,1,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
"139",44,"admin.","married","high.school","no","yes","no","cellular","aug","fri",111,1,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"140",50,"blue-collar","married","basic","no","yes","no","cellular","may","mon",293,3,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"yes"
"141",54,"businessman","married","high.school","no","no","no","cellular","aug","tue",119,3,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"142",51,"blue-collar","married","basic","no","no","no","cellular","aug","fri",393,1,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"143",30,"blue-collar","single","basic","no","no","no","cellular","nov","wed",30,1,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
"144",47,"services","single","basic","no","no","no","cellular","nov","tue",187,2,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
"145",35,"blue-collar","married","basic","no","yes","no","cellular","apr","fri",113,1,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
"146",58,"blue-collar","married","basic","no","no","no","cellular","nov","tue",64,1,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no"
"147",50,"blue-collar","divorced","high.school","no","yes","yes","cellular","jul","mon",629,2,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"148",41,"technician","married","professional.course","no","no","no","telephone","may","tue",92,1,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"149",38,"technician","married","university.degree","no","yes","no","cellular","may","wed",147,1,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
"150",32,"student","single","university.degree","no","no","no","cellular","nov","thu",151,2,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"151",21,"student","single","high.school","no","no","no","cellular","aug","tue",259,1,1,"failure",-2.9,92.201,-31.4,0.884,5076.2,"no"
"152",42,"businessman","married","university.degree","no","yes","no","cellular","nov","fri",888,3,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
"153",55,"services","married","basic","no","no","no","cellular","aug","wed",76,13,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"154",29,"admin.","single","high.school","no","yes","no","telephone","nov","mon",207,1,1,"success",-1.1,94.767,-50.8,1.05,4963.6,"no"
"155",53,"management","married","basic","no","yes","no","cellular","nov","wed",63,1,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
"156",35,"management","married","university.degree","no","yes","no","cellular","nov","wed",265,2,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
"157",46,"services","married","professional.course","no","yes","no","telephone","may","tue",273,4,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"158",32,"technician","married","professional.course","no","no","no","cellular","jul","tue",711,1,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"159",41,"blue-collar","divorced","basic","no","yes","no","cellular","may","fri",88,1,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,"no"
"160",28,"admin.","married","university.degree","no","no","no","cellular","may","tue",72,3,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"no"
"161",24,"services","single","university.degree","no","no","no","cellular","jul","thu",113,6,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"162",30,"admin.","single","university.degree","no","yes","no","cellular","aug","mon",39,1,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no"
"163",22,"student","single","high.school","no","no","yes","cellular","jul","fri",154,2,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
"164",32,"businessman","single","university.degree","no","no","yes","cellular","nov","thu",126,1,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"165",38,"technician","single","professional.course","no","yes","no","cellular","may","mon",202,3,1,"failure",-1.8,92.893,-46.2,1.244,5099.1,"no"
"166",59,"unemployed","married","basic","no","no","no","telephone","apr","tue",353,4,0,"nonexistent",-1.8,93.075,-47.1,1.453,5099.1,"no"
"167",31,"blue-collar","married","basic","no","yes","no","telephone","may","wed",159,2,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"168",76,"unemployed","single","basic","no","no","no","cellular","nov","mon",347,4,1,"success",-3.4,92.649,-30.1,0.715,5017.5,"yes"
"169",33,"admin.","single","university.degree","no","yes","no","cellular","aug","thu",686,4,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"170",59,"unemployed","married","basic","no","yes","no","cellular","aug","fri",94,1,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"171",28,"blue-collar","married","basic","no","yes","no","cellular","jul","mon",225,3,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"172",33,"blue-collar","single","basic","no","yes","no","cellular","may","fri",474,2,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
"173",41,"services","married","high.school","no","no","no","cellular","mar","wed",377,6,0,"nonexistent",-1.8,92.843,-50,1.778,5099.1,"yes"
"174",35,"technician","married","professional.course","no","no","no","cellular","jul","thu",126,4,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
"175",53,"management","married","university.degree","no","no","no","cellular","aug","mon",313,4,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"176",35,"technician","single","professional.course","no","yes","no","cellular","may","thu",141,1,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
"177",34,"housemaid","single","university.degree","no","no","no","telephone","jun","thu",267,2,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"178",42,"admin.","married","basic","no","no","no","telephone","apr","mon",406,3,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
"179",36,"businessman","married","basic","no","yes","yes","cellular","nov","thu",151,3,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"180",44,"admin.","married","high.school","no","no","no","telephone","may","wed",228,3,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"181",50,"admin.","divorced","university.degree","no","yes","no","cellular","aug","tue",73,2,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"182",36,"admin.","married","university.degree","no","yes","no","cellular","sep","fri",355,1,0,"nonexistent",-3.4,92.379,-29.8,0.773,5017.5,"no"
"183",27,"technician","married","professional.course","no","no","no","cellular","jul","thu",102,9,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"184",25,"technician","single","university.degree","no","yes","yes","telephone","jun","mon",35,6,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,"no"
"185",29,"management","married","university.degree","no","yes","yes","cellular","aug","tue",116,2,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
"186",44,"admin.","married","high.school","no","no","no","telephone","may","wed",83,3,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"187",30,"admin.","single","high.school","no","yes","no","cellular","jul","wed",605,1,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"188",37,"businessman","married","university.degree","no","yes","yes","cellular","aug","wed",585,2,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no"
"189",57,"technician","married","basic","no","no","no","cellular","jul","tue",94,1,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"190",32,"technician","married","professional.course","no","yes","no","cellular","jul","thu",255,1,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"191",54,"admin.","married","professional.course","no","no","no","cellular","nov","tue",1868,2,1,"success",-1.1,94.767,-50.8,1.035,4963.6,"yes"
"192",58,"blue-collar","married","basic","no","yes","no","cellular","aug","mon",846,1,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"yes"
"193",27,"unemployed","single","university.degree","no","no","no","telephone","jun","wed",404,2,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
